file,total,subregion,silence,skip
29_07,47457574,0,5388306,0
02_06,57660582,0,26020406,22929630
39_07,39243659,0,0,2232270
34_07,57578129,0,15799701,21298500
12_06,57630080,0,0,2622850
22_06,52448101,0,10885443,12568264
41_06,57648204,0,18507694,1975316
09_07,57599990,0,0,0
04_07,44728890,0,8054630,2206240
32_06,57454666,0,18788402,1183490
14_07,57599230,0,0,33835080
19_07,39349746,0,3717170,8295533
31_06,57432540,0,27222896,434600
17_07,57609510,0,24325508,0
21_06,51230792,0,9139826,13619827
42_06,57640318,0,15457964,1423560
07_07,57602800,0,520660,16020520
37_07,57261952,0,21690048,1218917
11_06,44484997,0,5814029,4790261
44_07,37295509,0,13169987,0
27_07,57419180,0,18121372,449680
01_06,57582334,0,21094544,2641606
17_06,57593036,0,26339548,7037248
31_07,57550570,0,23006320,2172650
07_06,57622180,0,0,0
21_07,41618370,0,0,6493050
42_07,57688008,0,18326484,4815750
11_07,44886714,0,10101266,0
37_06,57580751,0,28026089,1343790
01_07,57710149,0,22273561,1847610
44_06,56882434,0,28650786,3016900
27_06,57285728,0,14759798,4027833
02_07,57018629,0,25892039,0
29_06,49938320,0,8049713,0
12_07,57598117,0,14133177,2869460
39_06,40334933,0,3185137,2448870
34_06,57457461,0,7055459,8254670
09_06,57619840,0,0,0
04_06,42726470,0,0,4152680
22_07,51731198,0,21074312,0
41_07,57723442,0,7484854,10088360
14_06,57599990,0,0,0
19_06,42813940,0,12844762,5768286
32_07,53277514,0,13142326,607210
13_07,43159178,0,15070998,0
38_06,47349513,0,1801199,4790040
35_06,41957937,0,12457533,1403447
03_07,57439930,0,25314354,912401
25_06,45829268,0,6166184,0
46_06,39636315,0,3365499,2278461
28_06,42686760,0,16585016,0
15_06,57608300,0,0,25751260
18_06,51595910,0,0,0
33_07,48079639,0,22553719,0
08_06,57603480,0,0,24031430
40_07,57462159,0,18305546,4081420
23_07,57593940,0,13605984,13569326
06_06,40906370,0,0,0
43_07,53383745,0,16064651,0
20_07,57192075,0,20979611,0
16_06,57612436,0,26304826,0
30_07,57284306,0,12058640,5412286
26_06,57590737,0,29533593,0
45_06,45941813,0,13379879,1187830
10_07,45406490,0,6631808,4119020
36_06,40394285,0,8882420,462370
43_06,38302429,0,2047779,10227660
20_06,57623280,0,0,4265460
06_07,57684330,0,0,0
30_06,57829292,0,13150568,156920
16_07,57494081,0,27524755,0
26_07,57609532,0,34485618,0
45_07,38091442,0,9699592,1624980
36_07,46821603,0,15836592,290101
10_06,43158340,0,0,0
38_07,46496287,0,9268237,976810
35_07,42350839,0,8418796,1521250
13_06,41502480,0,10624900,13890210
25_07,41383674,0,13561814,0
46_07,38428500,0,4668850,2830890
28_07,42709981,0,12175941,0
03_06,56545284,0,26604360,1090141
33_06,48024700,0,7977570,5192600
15_07,57589792,0,18291022,0
18_07,45721392,0,11331322,0
40_06,45784982,0,5014916,5667601
23_06,57539876,0,21818250,0
08_07,57603250,0,13037950,0
