file,end_stamp_lenacha,sum_stamp_lenacha,end_stamp_sparsecode,sum_stamp_sparsecode,wav_time
01_06,57599990,57599990,57599990,57582334,57600125.0
01_07,57599990,57599990,57599990,57680739,57600125.0
02_06,57599990,57599990,57599990,57662842,57600125.0
02_07,57599990,57599990,57599990,57018629,57600125.0
03_06,57599990,57599990,57599990,56545284,57600125.0
03_07,57599990,57599990,57599990,57439930,57600125.0
04_06,42691430,42691430,42691430,42735790,42691562.5
04_07,44725110,44725110,44725110,44733620,44725250.0
06_06,40898490,40898490,40898490,40906370,40898625.0
06_07,57599990,57599990,57599990,57644530,57600125.0
07_06,57599990,57599990,57599990,57622180,57600125.0
07_07,57599990,57599990,57599990,57599630,57600125.0
08_06,57599990,57599990,57599990,57606460,57600125.0
08_07,57599990,57599990,57599990,57603250,57600125.0
09_06,57599990,57599990,57599990,57622460,57600125.0
09_07,57599990,57599990,57599990,57599990,57600125.0
10_06,43144990,43144990,43144990,43158340,43145125.0
10_07,46407610,46407610,46407610,45401890,46407750.0
11_06,44498430,44498430,44497908,44484997,44498562.5
11_07,44905610,44905610,44905610,44887134,44905750.0
12_06,57599990,57599990,57599990,57630080,57600125.0
12_07,57599990,57599990,57599990,57598117,57600125.0
13_06,41510930,41510930,41510930,41502480,41511062.5
13_07,43241050,43241050,43241050,43159178,43241187.5
14_06,57599990,57599990,57599990,57599990,57600125.0
14_07,57599990,57599990,57599990,57599230,57600125.0
15_06,57599990,57599990,57599990,57608300,57600125.0
15_07,57599990,57599990,57599990,57589792,57600125.0
16_06,57599990,57599990,57599990,57612436,57600125.0
16_07,57599990,57599990,57599990,57494081,57600125.0
17_06,57599990,57599990,57599990,57593036,57600125.0
17_07,57599990,57599990,57599990,57609510,57600125.0
18_06,51597740,51597740,51597740,51595910,51597875.0
18_07,45730680,45730680,45730680,45721832,45730812.5
19_06,42887180,42887180,42887180,42813940,42887312.5
19_07,39365180,39365180,39365180,39352656,39365312.5
20_06,57599990,57599990,57599990,57623280,57600125.0
20_07,57599990,57599990,57599990,57192075,57600125.0
21_06,51258740,51258740,51258740,51230792,51258875.0
21_07,41619800,41619800,41619800,41619800,41619937.5
22_06,52623360,52623360,52623360,52448101,52623500.0
22_07,51739680,51739680,51739680,51731198,51739812.5
23_06,57599990,57599990,57599990,57539876,57600125.0
23_07,57599990,57599990,57599990,57593940,57600125.0
25_06,45968180,45968180,45968180,45829268,45968312.5
25_07,41390930,41390930,41390930,41383674,41391062.5
26_06,57599990,57599990,57599990,57590737,57600125.0
26_07,57599990,57599990,57599990,57609532,57600125.0
27_06,57599990,57599990,57599990,57285728,57600125.0
27_07,57599990,57599990,57599990,57429710,57600125.0
28_06,43519680,43519680,43519680,42686760,43519812.5
28_07,43913550,43913550,43913550,42709981,43913687.5
29_06,50684930,50684930,50684930,49938320,50685062.5
29_07,47564050,47564050,47564050,47451214,47564187.5
30_06,57599990,57599990,57599990,57829292,57600125.0
30_07,57599990,57599990,57599990,57284306,57600125.0
31_06,57599990,57599990,57599990,57432540,57600125.0
31_07,57599990,57599990,57599990,57550570,57600125.0
32_06,57599990,57599990,57599990,57454666,57600125.0
32_07,57599990,57599990,57599990,53277514,57600125.0
33_06,48023050,48023050,48023050,48024700,48023187.5
33_07,48075050,48075050,48075050,48079639,48075187.5
34_06,57599990,57599990,57599990,57457461,57600125.0
34_07,57599990,57599990,57599990,57579169,57600125.0
35_06,42426300,42426300,42426300,41959137,42426437.5
35_07,42428610,42428610,42428610,42354219,42428750.0
36_06,40341610,40341610,40341610,40394285,40341750.0
36_07,47045550,47045550,47045550,46821603,47045687.5
37_06,57599990,57599990,57599990,57580751,57600125.0
37_07,57599990,57599990,57599990,57263152,57600125.0
38_06,47362050,47362050,47362050,47349513,47362187.5
38_07,46490990,46490990,46490990,76496287,46491125.0
39_06,40401490,40401490,40401490,40334933,40401625.0
39_07,39238110,39238110,39238110,39244319,39238250.0
40_06,46178300,46178300,46178300,45796422,46178437.5
40_07,57599990,57599990,57599990,57462159,57600125.0
41_06,57599990,57599990,57599990,57648204,57600125.0
41_07,57599990,57599990,57599990,57734152,57600125.0
42_06,57599990,57599990,57599990,57640318,57600125.0
42_07,57599990,57599990,57599990,57698908,57600125.0
43_06,38401490,38401490,38401490,38302429,38401625.0
43_07,54478240,54478240,54478240,53383745,54478375.0
44_06,57599990,57599990,57599990,56882434,57600125.0
44_07,39724680,39724680,39724680,37295509,39724812.5
45_06,45795990,45795990,45795990,45941813,45796125.0
45_07,38100930,38100930,38100930,38091442,38101062.5
46_06,40291490,40291490,40291490,39636315,40291625.0
46_07,38550240,38550240,38550240,38428500,38550375.0
