file,time
40_07,57599990
11_17,41744740
44_12,41403800
31_13,57599990
27_14,57599990
38_12,47070990
39_10,47063240
09_13,57599990
36_07,47045550
06_09,50453860
08_11,57599990
03_15,57599990
26_11,57599990
43_11,47892800
17_16,57599990
18_10,46896300
20_16,57599990
19_12,46277610
07_17,44988930
41_09,57599990
10_12,57599990
01_06,57599990
33_15,37160800
46_09,40520800
42_17,57599990
21_06,51258740
23_08,57599860
22_16,43989990
29_13,40857740
28_10,47159110
13_10,44742240
04_14,44969740
12_13,44410930
34_17,30687990
02_08,57599990
35_15,37675360
32_07,57599990
15_06,57599990
25_15,36535930
16_16,57599990
14_13,57599990
45_09,50457740
37_06,57599990
30_14,57599990
