file,end_stamp_sparsecode,sum_stamp_sparsecode
01_06,57599990,57582334
01_07,57599990,57680739
02_06,57599990,57662842
02_07,57599990,57018629
03_06,57599990,56545284
03_07,57599990,57439930
04_06,42691430,42735790
04_07,44725110,44733620
06_06,40898490,40906370
06_07,57599990,57644530
07_06,57599990,57622180
07_07,57599990,57599630
08_06,57599990,57606460
08_07,57599990,57603250
09_06,57599990,57622460
09_07,57599990,57599990
10_06,43144990,43158340
10_07,46407610,45401890
11_06,44497908,44484997
11_07,44905610,44887134
12_06,57599990,57630080
12_07,57599990,57598117
13_06,41510930,41502480
13_07,43241050,43159178
14_06,57599990,57599990
14_07,57599990,57599230
15_06,57599990,57608300
15_07,57599990,57589792
16_06,57599990,57612436
16_07,57599990,57494081
17_06,57599990,57593036
17_07,57599990,57609510
18_06,51597740,51595910
18_07,45730680,45721832
19_06,42887180,42813940
19_07,39365180,39352656
20_06,57599990,57623280
20_07,57599990,57192075
21_06,51258740,51230792
21_07,41619800,41619800
22_06,52623360,52448101
22_07,51739680,51731198
23_06,57599990,57539876
23_07,57599990,57593940
25_06,45968180,45829268
25_07,41390930,41383674
26_06,57599990,57590737
26_07,57599990,57609532
27_06,57599990,57285728
27_07,57599990,57429710
28_06,43519680,42686760
28_07,43913550,42709981
29_06,50684930,49938320
29_07,47564050,47451214
30_06,57599990,57829292
30_07,57599990,57284306
31_06,57599990,57432540
31_07,57599990,57550570
32_06,57599990,57454666
32_07,57599990,53277514
33_06,48023050,48024700
33_07,48075050,48079639
34_06,57599990,57457461
34_07,57599990,57579169
35_06,42426300,41959137
35_07,42428610,42354219
36_06,40341610,40394285
36_07,47045550,46821603
37_06,57599990,57580751
37_07,57599990,57263152
38_06,47362050,47349513
38_07,46490990,76496287
39_06,40401490,40334933
39_07,39238110,39244319
40_06,46178300,45796422
40_07,57599990,57462159
41_06,57599990,57648204
41_07,57599990,57734152
42_06,57599990,57640318
42_07,57599990,57698908
43_06,38401490,38302429
43_07,54478240,53383745
44_06,57599990,56882434
44_07,39724680,37295509
45_06,45795990,45941813
45_07,38100930,38091442
46_06,40291490,39636315
46_07,38550240,38428500
