file,wav_time
21_06,51258875.0
21_07,41619937.5
12_07,57600125.0
12_06,57600125.0
19_07,39365312.5
19_06,42887312.5
39_06,40401625.0
39_07,39238250.0
25_07,41391062.5
25_06,45968312.5
08_06,57600125.0
08_07,57600125.0
14_06,57600125.0
14_07,57600125.0
29_06,50685062.5
29_07,47564187.5
43_06,38401625.0
43_07,54478375.0
13_06,41511062.5
13_07,43241187.5
31_06,57600125.0
31_07,57600125.0
36_07,47045687.5
36_06,40341750.0
20_07,57600125.0
20_06,57600125.0
18_06,51597875.0
18_07,45730812.5
38_06,47362187.5
38_07,46491125.0
35_07,42428750.0
35_06,42426437.5
41_07,57600125.0
41_06,57600125.0
16_07,57600125.0
16_06,57600125.0
17_06,57600125.0
17_07,57600125.0
33_06,48023187.5
33_07,48075187.5
01_06,57600125.0
01_07,57600125.0
34_07,57600125.0
34_06,57600125.0
06_06,40898625.0
06_07,57600125.0
22_06,52623500.0
22_07,51739812.5
10_07,46407750.0
10_06,43145125.0
09_06,57600125.0
09_07,57600125.0
02_07,57600125.0
02_06,57600125.0
44_07,39724812.5
44_06,57600125.0
46_07,38550375.0
46_06,40291625.0
23_07,57600125.0
23_06,57600125.0
40_07,57600125.0
40_06,46178437.5
27_06,57600125.0
27_07,57600125.0
11_07,44905750.0
11_06,44498562.5
07_06,57600125.0
07_07,57600125.0
15_07,57600125.0
15_06,57600125.0
04_06,42691562.5
04_07,44725250.0
37_06,57600125.0
37_07,57600125.0
32_06,57600125.0
32_07,57600125.0
30_06,57600125.0
30_07,57600125.0
26_07,57600125.0
26_06,57600125.0
42_06,57600125.0
42_07,57600125.0
28_06,43519812.5
28_07,43913687.5
03_06,57600125.0
03_07,57600125.0
45_07,38101062.5
45_06,45796125.0
